   len,	   init,	 algo_1,	 algo_2,	 algo_3,	 tlr0,	 tlr1,	 tlr2,	 tlr3
     1,	      1,	      1,	      0,	        0,	 1.000000,	 1.000000,	 0.000000,	 0.000000
     2,	      0,	      0,	      0,	        1,	 0.000000,	 0.000000,	 0.000000,	 0.500000
     3,	      0,	      0,	      0,	        1,	 0.000000,	 0.000000,	 0.000000,	 0.333333
     4,	      1,	      0,	      1,	        0,	 0.250000,	 0.000000,	 0.250000,	 0.000000
     8,	      0,	      1,	      0,	        1,	 0.000000,	 0.125000,	 0.000000,	 0.125000
    16,	      1,	      0,	      0,	        0,	 0.062500,	 0.000000,	 0.000000,	 0.000000
    32,	      0,	      1,	      1,	        1,	 0.000000,	 0.031250,	 0.031250,	 0.031250
    64,	      2,	      1,	      1,	        2,	 0.031250,	 0.015625,	 0.015625,	 0.031250
   128,	      2,	      1,	      2,	        5,	 0.015625,	 0.007812,	 0.015625,	 0.039062
   256,	      4,	      2,	      3,	       21,	 0.015625,	 0.007812,	 0.011719,	 0.082031
   512,	      8,	      4,	      9,	       81,	 0.015625,	 0.007812,	 0.017578,	 0.158203
  1024,	     16,	      6,	     19,	      331,	 0.015625,	 0.005859,	 0.018555,	 0.323242
  2048,	     34,	     10,	     31,	     1329,	 0.016602,	 0.004883,	 0.015137,	 0.648926
  4096,	     62,	     25,	     66,	     5390,	 0.015137,	 0.006104,	 0.016113,	 1.315918
  8192,	    160,	     54,	    145,	    22324,	 0.019531,	 0.006592,	 0.017700,	 2.725098
 16384,	    326,	     89,	    332,	    86423,	 0.019897,	 0.005432,	 0.020264,	 5.274841
 32768,	    570,	    209,	    621,	   316274,	 0.017395,	 0.006378,	 0.018951,	 9.651917
 65536,	   1086,	    494,	   1280,	  1268880,	 0.016571,	 0.007538,	 0.019531,	 19.361572
131072,	   2214,	    906,	   2523,	  5062123,	 0.016891,	 0.006912,	 0.019249,	 38.620934
262144,	   4568,	   1897,	   5673,	 20533368,	 0.017426,	 0.007236,	 0.021641,	 78.328583
524288,	   8388,	   4256,	  11306,	 94707792,	 0.015999,	 0.008118,	 0.021564,	 180.640778
